number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
62,0.4570877531340405,2025-07-17 09:04:50.715494,2025-07-17 09:05:04.244210,0 days 00:00:13.528716,32,0.16299751499286602,0.0004028983324900212,3.038715986184232e-05,PRUNED
63,0.5863066538090647,2025-07-17 09:05:04.264338,2025-07-17 09:06:38.153991,0 days 00:01:33.889653,32,0.21268872896138358,0.0006651001529159876,6.7769369586496445e-06,COMPLETE
64,0.5342333654773385,2025-07-17 09:06:38.186562,2025-07-17 09:07:28.579128,0 days 00:00:50.392566,32,0.21565502243783188,0.001410578374850563,7.347537307490028e-06,PRUNED
65,0.31436837029893927,2025-07-17 09:07:28.602922,2025-07-17 09:07:32.022952,0 days 00:00:03.420030,32,0.19076040296339683,0.0006330869539012951,3.9033295021973435e-06,PRUNED
66,0.29122468659594986,2025-07-17 09:07:32.067271,2025-07-17 09:07:35.352136,0 days 00:00:03.284865,64,0.251099519874896,0.001164055445787333,1.4087085457024548e-05,PRUNED
67,0.5631629701060752,2025-07-17 09:07:35.370969,2025-07-17 09:08:25.762765,0 days 00:00:50.391796,32,0.2750169166247434,0.0007385054920824259,6.08094051035987e-06,PRUNED
68,0.5641272902603665,2025-07-17 09:08:25.780058,2025-07-17 09:09:16.267775,0 days 00:00:50.487717,32,0.20105228023653,0.0008305655971951917,3.624502811187019e-06,PRUNED
69,0.30279652844744454,2025-07-17 09:09:16.290071,2025-07-17 09:09:19.744593,0 days 00:00:03.454522,32,0.23968874801944376,0.0031529288149109752,2.7604118645265056e-05,PRUNED
70,0.29122468659594986,2025-07-17 09:09:19.764058,2025-07-17 09:09:23.054876,0 days 00:00:03.290818,64,0.30619264357672227,0.0005031929945975976,0.0002848559891155497,PRUNED
71,0.5544840887174542,2025-07-17 09:09:23.099554,2025-07-17 09:10:13.623703,0 days 00:00:50.524149,32,0.14272450966748296,0.0002889219423005477,1.620231681938106e-05,PRUNED
72,0.36162005785920925,2025-07-17 09:10:13.641240,2025-07-17 09:10:20.454446,0 days 00:00:06.813206,32,0.17100679747760744,0.00010864932993186276,9.63009992961163e-06,PRUNED
73,0.5188042430086789,2025-07-17 09:10:20.473647,2025-07-17 09:11:24.487690,0 days 00:01:04.014043,32,0.21932488995110672,0.00042761893920844235,4.15583440557641e-05,PRUNED
74,0.3760848601735776,2025-07-17 09:11:24.511960,2025-07-17 09:11:31.349361,0 days 00:00:06.837401,32,0.2001465380901986,0.00020684590494024713,2.0949272773057433e-05,PRUNED
75,0.5593056894889104,2025-07-17 09:11:31.369939,2025-07-17 09:12:28.928795,0 days 00:00:57.558856,16,0.14611268608864078,0.0003233210978181823,5.8836558490926625e-05,PRUNED
76,0.2777242044358727,2025-07-17 09:12:28.992486,2025-07-17 09:12:32.468742,0 days 00:00:03.476256,32,0.18180360026315381,0.007590343982582636,0.000532393095884176,PRUNED
77,0.3751205400192864,2025-07-17 09:12:32.487558,2025-07-17 09:12:39.324892,0 days 00:00:06.837334,32,0.4226875197931152,0.0019675567409451525,1.1947391973860941e-05,PRUNED
78,0.4088717454194793,2025-07-17 09:12:39.345451,2025-07-17 09:12:51.022783,0 days 00:00:11.677332,16,0.21074086056718616,0.005541537603009744,1.7376335407490946e-05,PRUNED
79,0.4503375120540019,2025-07-17 09:12:51.042595,2025-07-17 09:13:23.535260,0 days 00:00:32.492665,64,0.1346384487250441,0.0005760662475848781,1.8041711068793968e-06,PRUNED
80,0.29797492767598843,2025-07-17 09:13:23.554194,2025-07-17 09:13:27.002281,0 days 00:00:03.448087,32,0.29049435808873186,0.0015208101324065799,0.0021956667217640593,PRUNED
81,0.3056894889103182,2025-07-17 09:13:27.056870,2025-07-17 09:13:30.546641,0 days 00:00:03.489771,32,0.22887843373205458,0.0009929238415721756,5.048376998015433e-06,PRUNED
82,0.42333654773384766,2025-07-17 09:13:30.566035,2025-07-17 09:13:44.124147,0 days 00:00:13.558112,32,0.24769129834784837,0.002284746478918546,7.095142987814278e-06,PRUNED
83,0.32979749276759884,2025-07-17 09:13:44.142606,2025-07-17 09:13:50.923024,0 days 00:00:06.780418,32,0.19270610614213138,0.00432722408468422,0.006447430307832725,PRUNED
84,0.2892960462873674,2025-07-17 09:13:50.943621,2025-07-17 09:13:54.455462,0 days 00:00:03.511841,32,0.45916846973839104,0.0013152001075149235,4.179799921608547e-06,PRUNED
85,0.36354869816779173,2025-07-17 09:13:54.474485,2025-07-17 09:14:01.283763,0 days 00:00:06.809278,32,0.2689626116397607,0.0008299347109778575,7.801750288000018e-06,PRUNED
86,0.33076181292189005,2025-07-17 09:14:01.330963,2025-07-17 09:14:08.175376,0 days 00:00:06.844413,32,0.22328887268085496,0.0011507266711765372,2.4430865065801335e-05,PRUNED
87,0.3153326904532305,2025-07-17 09:14:08.194567,2025-07-17 09:14:12.040185,0 days 00:00:03.845618,16,0.17346341269596918,0.001680227123175926,3.390066304166121e-05,PRUNED
88,0.3828351012536162,2025-07-17 09:14:12.057776,2025-07-17 09:14:44.277976,0 days 00:00:32.220200,64,0.2413681202437932,0.0027161626191159693,0.00011749165842677533,PRUNED
89,0.579556412729026,2025-07-17 09:14:44.296962,2025-07-17 09:16:08.353819,0 days 00:01:24.056857,32,0.15364526323074826,0.0006536780661374884,3.0014537516603334e-06,COMPLETE
90,0.25747348119575697,2025-07-17 09:16:08.378302,2025-07-17 09:16:11.802430,0 days 00:00:03.424128,32,0.4326846371086276,2.7448189999383975e-05,1.6217837903119313e-06,PRUNED
91,0.46576663452266154,2025-07-17 09:16:11.851235,2025-07-17 09:16:25.358420,0 days 00:00:13.507185,32,0.17109565122974155,0.00016694037660832978,0.0031613730814052943,PRUNED
92,0.5409836065573771,2025-07-17 09:16:25.377223,2025-07-17 09:17:15.781748,0 days 00:00:50.404525,32,0.15718543653198888,0.0003889898022700686,0.001288038555701232,PRUNED
93,0.2767598842815815,2025-07-17 09:17:15.801835,2025-07-17 09:17:19.294062,0 days 00:00:03.492227,32,0.48631136060922286,0.00032337368130768796,0.000687138201457465,PRUNED
94,0.46576663452266154,2025-07-17 09:17:19.315837,2025-07-17 09:17:36.180073,0 days 00:00:16.864236,32,0.23190543465501343,0.0004557917723206522,0.0001753634229272294,PRUNED
95,0.45998071359691417,2025-07-17 09:17:36.200738,2025-07-17 09:17:56.467247,0 days 00:00:20.266509,32,0.20473907301227035,0.00025590073024584,0.0018203152504990946,PRUNED
