number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
27,0.3191899710703954,2025-07-12 12:39:39.499262,2025-07-12 12:39:43.217957,0 days 00:00:03.718695,16,0.16618681586420825,0.003327008667580677,2.675780930470034e-05,PRUNED
28,0.36837029893924783,2025-07-12 12:39:43.235145,2025-07-12 12:39:50.602311,0 days 00:00:07.367166,16,0.4644918971047862,0.0015486407761190872,2.013550020432398e-06,PRUNED
29,0.3674059787849566,2025-07-12 12:39:50.630763,2025-07-12 12:39:58.022617,0 days 00:00:07.391854,16,0.4189954638973184,0.00184729628996537,5.674513190468093e-06,PRUNED
30,0.3085824493731919,2025-07-12 12:39:58.039898,2025-07-12 12:40:01.752430,0 days 00:00:03.712532,16,0.3527875918994894,8.296391876166413e-05,2.3589866039723112e-06,PRUNED
31,0.3837994214079074,2025-07-12 12:40:01.770466,2025-07-12 12:40:12.923148,0 days 00:00:11.152682,16,0.27898987392389535,0.00391929475756263,1.1035898388648944e-06,PRUNED
32,0.36354869816779173,2025-07-12 12:40:12.942072,2025-07-12 12:40:20.428664,0 days 00:00:07.486592,16,0.31661575001895836,0.006062847902056857,1.8784328317225793e-06,PRUNED
33,0.5515911282545806,2025-07-12 12:40:20.447085,2025-07-12 12:42:39.609990,0 days 00:02:19.162905,16,0.22867983891674304,0.002753629079527404,5.738866277831119e-06,COMPLETE
34,0.4416586306653809,2025-07-12 12:42:39.640450,2025-07-12 12:43:05.379000,0 days 00:00:25.738550,16,0.17851059196287794,0.001936387069354154,1.123864702489902e-06,PRUNED
35,0.5776277724204436,2025-07-12 12:43:05.402357,2025-07-12 12:46:08.354910,0 days 00:03:02.952553,16,0.14278175791899125,0.0010230594011887944,1.676431618251128e-05,COMPLETE
36,0.5612343297974928,2025-07-12 12:46:08.378872,2025-07-12 12:48:24.154561,0 days 00:02:15.775689,32,0.13846709695433262,0.0009440739469519035,4.765981805652271e-05,COMPLETE
37,0.3471552555448409,2025-07-12 12:48:24.180263,2025-07-12 12:48:31.544279,0 days 00:00:07.364016,16,0.14534064078669018,0.002898489673121721,0.0003649455955455017,PRUNED
38,0.36644165863066536,2025-07-12 12:48:31.565356,2025-07-12 12:48:38.746387,0 days 00:00:07.181031,64,0.1813273247671393,0.0008938741283198608,6.135279133533492e-05,PRUNED
39,0.5920925747348119,2025-07-12 12:48:38.763662,2025-07-12 12:51:26.893918,0 days 00:02:48.130256,16,0.10232819271352322,0.0005205323556647541,1.0943627812972448e-05,COMPLETE
40,0.36547733847637415,2025-07-12 12:51:26.918708,2025-07-12 12:51:37.646423,0 days 00:00:10.727715,64,0.10433374389035116,0.000544191205110353,0.00010060209507400392,PRUNED
41,0.4069431051108968,2025-07-12 12:51:37.664053,2025-07-12 12:51:52.295330,0 days 00:00:14.631277,16,0.1369365109233288,0.00016500088094023672,1.353638285556488e-05,PRUNED
42,0.4802314368370299,2025-07-12 12:51:52.312858,2025-07-12 12:53:01.860973,0 days 00:01:09.548115,16,0.12458280491141006,0.0014435777104064914,7.998373679235724e-06,PRUNED
43,0.2892960462873674,2025-07-12 12:53:01.880954,2025-07-12 12:53:05.585462,0 days 00:00:03.704508,16,0.11653727226796004,0.001127473592186161,1.7572817786471103e-05,PRUNED
44,0.3201542912246866,2025-07-12 12:53:05.602708,2025-07-12 12:53:12.806998,0 days 00:00:07.204290,32,0.3963676617717115,0.00024131107397109771,5.197191939234036e-06,PRUNED
45,0.3037608486017358,2025-07-12 12:53:12.825022,2025-07-12 12:53:16.529403,0 days 00:00:03.704381,16,0.18520059782955858,1.0486777352335482e-05,4.336996241528832e-05,PRUNED
46,0.3837994214079074,2025-07-12 12:53:16.557902,2025-07-12 12:53:37.891788,0 days 00:00:21.333886,64,0.15817672545338868,0.0020434172885136254,2.1876782996449005e-05,PRUNED
47,0.29508196721311475,2025-07-12 12:53:37.909673,2025-07-12 12:53:41.613105,0 days 00:00:03.703432,16,0.22402120877753562,0.008678528179280791,1.063825955508912e-05,PRUNED
48,0.3105110896817743,2025-07-12 12:53:41.631990,2025-07-12 12:53:45.271205,0 days 00:00:03.639215,32,0.10026329684785762,0.00029243338938116044,2.5562739320448736e-06,PRUNED
49,0.32594021215043395,2025-07-12 12:53:45.290853,2025-07-12 12:53:49.050681,0 days 00:00:03.759828,16,0.3067676850386668,0.0006704764146857505,0.00011551514385138494,PRUNED
50,0.5969141755062681,2025-07-12 12:53:49.067220,2025-07-12 12:56:51.904855,0 days 00:03:02.837635,16,0.12836322947092366,0.0004381898756319828,3.7734613887339016e-06,COMPLETE
51,0.3172613307618129,2025-07-12 12:56:51.953918,2025-07-12 12:56:55.651448,0 days 00:00:03.697530,16,0.11805785098423527,0.00012768531099983433,4.3932322028307134e-06,PRUNED
52,0.42719382835101255,2025-07-12 12:56:55.668829,2025-07-12 12:57:17.700646,0 days 00:00:22.031817,16,0.13239054243178322,0.0004153253291305835,8.48681913693236e-06,PRUNED
53,0.29990356798457085,2025-07-12 12:57:17.718157,2025-07-12 12:57:21.406879,0 days 00:00:03.688722,16,0.19391591848243275,0.0005186221262463218,3.1439346565312925e-06,PRUNED
54,0.36837029893924783,2025-07-12 12:57:21.425579,2025-07-12 12:57:28.820666,0 days 00:00:07.395087,16,0.14952829763705344,0.00030367798889034393,1.7544793930796277e-06,PRUNED
55,0.36451301832208294,2025-07-12 12:57:28.840027,2025-07-12 12:57:36.243027,0 days 00:00:07.403000,16,0.16622043274149326,0.0008465533479495432,6.758980939062966e-06,PRUNED
